Year	StatType	Terms	Statistic	P-Value	Additional Info
2000	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	15.260501704738436	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 35.126865138713285-54.23357220794357    CI2: 1.3564578288464362-6.030643895920566 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2000	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	57.796909606444885	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2000	chisq		133.33820178457862	7.6250371882747645e-31	
2000	tost		8.255840139265882	0.9999999999999999	
2001	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	14.29275830991889	1.3476965127332376e-39	Reporting FET on the AB hits and B totals. Probably CORRECT.
2001	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	12.24786275355795	1.7248166109238919e-34	Reporting on z test of proportions.
2001	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	14.741176470588236	NOTSURE	Small number of window hits make p-value calculation difficult.
2001	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	15.523631295666672	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 35.367635836714065-53.197660342439    CI2: 1.3645268027800679-5.721762845983732 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2001	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	63.248180949359075	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2001	chisq		147.2682927897142	6.856167765051943e-34	
2001	tost		8.649927351298809	1.0	
2002	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	15.952765432336808	3.7126901724868775e-46	Reporting FET on the AB hits and B totals. Probably CORRECT.
2002	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	13.103404486410172	3.148131016538692e-39	Reporting on z test of proportions.
2002	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2002	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	17.458707888703884	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 36.86668513839856-53.97316978624464    CI2: 1.247912629795008-5.231227856099853 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2002	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	82.08387029537171	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2002	chisq		168.77158007789234	1.3723700091076888e-38	
2002	tost		9.081229867560968	1.0	
2003	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	16.056732594452267	2.722848490742716e-50	Reporting FET on the AB hits and B totals. Probably CORRECT.
2003	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	13.664746974361623	1.6487587471743293e-42	Reporting on z test of proportions.
2003	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	15.846703475154271	NOTSURE	Small number of window hits make p-value calculation difficult.
2003	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	17.655261067050052	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 37.316555225105475-53.54793967234609    CI2: 1.2692569724675429-5.0506406078027055 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2003	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	87.93092277552634	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2003	chisq		183.69540641234462	7.561489775643008e-42	
2003	tost		9.456260943543175	1.0	
2004	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	18.27714255899584	1.0659980127717265e-59	Reporting FET on the AB hits and B totals. Probably CORRECT.
2004	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	14.76258963614653	2.552870741295976e-49	Reporting on z test of proportions.
2004	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2004	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	20.292398057796476	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 39.497538888071304-55.21203593708236    CI2: 1.153809903747551-4.589895407571048 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2004	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	118.3987347733846	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2004	chisq		214.5945603084791	1.3661968330970855e-48	
2004	tost		9.977607730323797	1.0	
2005	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	19.74499797295686	7.34095457638332e-66	Reporting FET on the AB hits and B totals. Probably CORRECT.
2005	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	15.450508522350598	7.485059019213694e-54	Reporting on z test of proportions.
2005	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2005	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	22.036722248780745	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 39.73038023692231-54.61390758305268    CI2: 1.0599464203175875-4.21549000945303 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2005	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	134.26080237019363	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2005	chisq		235.21326457722486	4.34981270603538e-53	
2005	tost		10.290434029343244	1.0	
2006	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	21.130992285182227	3.865023140036413e-72	Reporting FET on the AB hits and B totals. Probably CORRECT.
2006	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	16.07289018295907	3.952216156052194e-58	Reporting on z test of proportions.
2006	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2006	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	23.6463840014631	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 39.09626416042811-52.981089880217134    CI2: 0.9652434266910603-3.837866110836651 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2006	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	155.6767995243878	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2006	chisq		254.68592017848837	2.4711774047518797e-57	
2006	tost		10.564159871935175	1.0	
2007	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	17.87265796744852	3.431722307913117e-76	Reporting FET on the AB hits and B totals. Probably CORRECT.
2007	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	16.557947900198027	1.4029806524095561e-61	Reporting on z test of proportions.
2007	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	5.879316912138141	NOTSURE	Small number of window hits make p-value calculation difficult.
2007	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	20.08195476621534	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 39.53555949602464-52.76254721444098    CI2: 1.2370454880445756-4.181345019119512 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2007	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	100.88457010922548	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2007	chisq		270.3738934225081	9.406347447650267e-61	
2007	tost		11.225259975193438	1.0	
